nActionDay,nTime,nPrice,nVolume
20200527,93209220,6685000,100
20200527,93209220,6685000,200
20200527,93212050,6681400,100
20200527,93212970,6683800,2500
20200527,93212970,6681300,100
20200527,93212970,6681300,100
20200527,93213190,6681300,100
20200527,93214010,6681300,100
20200527,93214180,6681300,100
20200527,93214660,6681300,100
20200527,93214660,6681400,100
20200527,93214780,6681400,200
20200527,93215730,6680000,100
20200527,93216380,6680000,100
20200527,93217520,6679300,100
20200527,93217530,6681400,100
20200527,93218680,6679000,100
20200527,93218680,6679000,100
20200527,93218680,6679000,200
20200527,93218680,6679000,200
20200527,93218680,6679000,100
20200527,93218700,6679000,300
20200527,93218700,6679000,100
20200527,93218700,6679000,100
20200527,93218710,6679000,300
20200527,93218710,6679000,100
20200527,93218710,6679000,100
20200527,93218750,6679000,1100
20200527,93218910,6677400,100
20200527,93219060,6677300,100
20200527,93219060,6677300,100
20200527,93219280,6679000,100
20200527,93219500,6676500,100
20200527,93219600,6679900,100
20200527,93220710,6679900,100
20200527,93221350,6680000,100
20200527,93221430,6680000,100
20200527,93221480,6681400,100
20200527,93221630,6679000,100
20200527,93221680,6676000,100
20200527,93221680,6675800,100
20200527,93222150,6679000,100
20200527,93222150,6680000,100
20200527,93222210,6681000,100
20200527,93222420,6681400,100
20200527,93223800,6681400,100
20200527,93224040,6681000,100
20200527,93225470,6681400,200
20200527,93226160,6681000,100
20200527,93226260,6681000,100
20200527,93227400,6681000,100
20200527,93229100,6681000,100
20200527,93229450,6681000,300
20200527,93229970,6681000,100
20200527,93230210,6681400,100
20200527,93231030,6681400,100
20200527,93233970,6681300,200
20200527,93234480,6681300,100
20200527,93235130,6681300,300
20200527,93235130,6681300,200
20200527,93235130,6681400,100
20200527,93235520,6681000,400
20200527,93240380,6681400,100
20200527,93240380,6681400,100
20200527,93243070,6681300,100
20200527,93244550,6681400,100
20200527,93244550,6681400,100
20200527,93245640,6681500,200
20200527,93245680,6681400,100
20200527,93245700,6681500,100
20200527,93246440,6682000,100
20200527,93246440,6681500,100
20200527,93246440,6681400,300
20200527,93247020,6681400,100
20200527,93248220,6685000,100
20200527,93248630,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,200
20200527,93248640,6685000,200
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,800
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,300
20200527,93248640,6685000,200
20200527,93248640,6685000,200
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248640,6685000,100
20200527,93248650,6685000,100
20200527,93248650,6685000,200
20200527,93248650,6685000,100
20200527,93248650,6685000,200
20200527,93248650,6685000,200
20200527,93248650,6685000,100
20200527,93248650,6685000,100
20200527,93248990,6685000,100
20200527,93250640,6685000,100
20200527,93251030,6685100,100
20200527,93252990,6685900,100
20200527,93254730,6690000,100
20200527,93254770,6690000,400
20200527,93254860,6690000,500
