nActionDay,nTime,nPrice,nVolume
20200525,93606810,6455100,100
20200525,93606880,6455000,100
20200525,93606890,6455000,100
20200525,93606900,6455000,100
20200525,93606940,6455000,100
20200525,93606980,6455000,100
20200525,93608550,6455100,100
20200525,93608560,6455000,100
20200525,93608630,6455000,100
20200525,93608630,6455000,100
20200525,93609240,6455000,100
20200525,93609250,6455000,100
20200525,93609470,6455000,100
20200525,93609480,6455000,100
20200525,93611180,6453800,100
20200525,93611250,6453800,100
20200525,93612470,6453800,100
20200525,93612510,6454900,100
20200525,93612510,6454900,100
20200525,93612720,6453700,100
20200525,93612930,6451700,100
20200525,93612930,6451700,100
20200525,93613010,6453700,100
20200525,93613830,6453700,100
20200525,93613830,6453700,100
20200525,93613830,6453800,100
20200525,93613830,6453800,100
20200525,93613830,6455100,100
20200525,93613830,6458700,100
20200525,93613830,6460800,100
20200525,93613830,6469400,100
20200525,93614250,6451700,100
20200525,93614480,6458700,100
20200525,93615640,6450100,100
20200525,93615690,6450100,100
20200525,93617890,6450000,100
20200525,93617890,6450000,100
20200525,93617920,6450000,100
20200525,93618620,6450000,100
20200525,93618640,6450000,200
20200525,93618640,6450000,100
20200525,93618640,6450000,100
20200525,93618650,6450000,100
20200525,93618650,6450000,100
20200525,93618650,6450100,100
20200525,93618690,6450100,100
20200525,93618690,6450100,100
20200525,93618690,6450100,100
20200525,93618700,6450100,100
20200525,93619140,6450000,100
20200525,93619190,6450000,100
20200525,93619420,6450000,100
20200525,93620200,6449900,100
20200525,93620200,6450000,100
20200525,93620200,6450000,200
20200525,93620200,6451700,200
20200525,93620200,6455000,200
20200525,93620200,6466800,400
20200525,93620200,6469300,100
20200525,93620200,6469500,400
20200525,93621430,6448800,100
20200525,93621430,6450000,300
20200525,93621910,6448800,100
20200525,93621910,6448800,100
20200525,93623020,6448800,100
20200525,93623140,6450000,500
20200525,93623430,6450000,100
20200525,93624630,6445100,100
20200525,93627370,6443000,100
20200525,93628100,6442600,100
20200525,93628100,6440200,200
20200525,93628570,6440200,800
20200525,93628570,6440000,200
20200525,93630630,6440000,300
20200525,93630630,6440000,100
20200525,93630630,6440000,100
20200525,93630640,6440000,100
20200525,93630680,6440000,100
20200525,93630690,6443000,100
20200525,93630690,6445100,100
20200525,93630690,6448900,200
20200525,93630710,6440000,100
20200525,93631260,6440000,100
20200525,93632600,6440000,100
20200525,93633030,6440000,100
20200525,93633710,6433300,100
20200525,93634030,6440000,200
20200525,93634200,6440000,100
20200525,93634200,6440000,200
20200525,93635210,6440000,100
20200525,93635210,6443000,100
20200525,93636700,6433600,100
20200525,93637520,6443000,200
20200525,93638040,6433900,100
20200525,93639230,6440000,100
20200525,93639700,6440000,100
20200525,93639770,6440000,100
20200525,93640350,6433800,100
20200525,93640350,6433700,100
20200525,93640350,6433200,100
20200525,93640350,6433100,100
20200525,93640350,6433100,100
20200525,93640350,6433100,100
20200525,93640350,6432800,200
20200525,93640350,6430900,100
20200525,93640350,6430500,100
20200525,93642640,6440000,100
20200525,93642790,6440000,100
20200525,93643210,6435000,100
20200525,93643460,6433600,300
20200525,93644540,6433600,100
20200525,93644550,6433600,100
20200525,93644560,6433600,100
20200525,93644970,6445100,100
20200525,93645650,6430000,100
20200525,93645890,6434100,100
20200525,93646140,6433800,200
20200525,93646220,6440000,100
20200525,93646640,6430000,100
20200525,93646640,6430000,100
20200525,93646640,6430000,300
20200525,93649170,6430000,200
20200525,93649170,6430000,100
20200525,93650500,6433600,100
20200525,93650680,6433600,100
20200525,93651450,6430000,200
20200525,93652130,6433600,100
20200525,93652310,6430000,100
20200525,93652310,6430000,100
20200525,93652810,6433600,100
20200525,93653400,6430000,100
20200525,93653400,6430000,100
20200525,93653400,6430000,100
20200525,93653650,6433600,100
20200525,93654640,6430000,100
20200525,93655980,6429500,100
20200525,93656330,6430000,100
20200525,93658460,6430000,100
20200525,93659790,6430000,100
20200525,93700060,6430000,100
20200525,93700630,6430000,100
20200525,93700640,6433700,100
20200525,93700640,6430000,100
20200525,93700660,6430000,100
20200525,93700700,6430000,200
20200525,93700700,6430000,100
