nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200525,131930000,6524600,6525000,6526200,6527600,6527800,100,100,300,100,400,6524000,6520100,6520000,6516500,6514400,500,200,300,100,100
20200525,131933000,6524500,6525000,6526200,6527600,6527800,100,100,300,100,400,6524000,6520900,6520100,6520000,6516500,200,100,200,300,100
20200525,131936000,6524000,6524500,6525000,6526200,6527600,100,100,100,300,100,6520900,6520100,6520000,6516500,6514400,100,200,300,100,100
20200525,131939000,6527800,6527900,6528000,6528800,6529000,300,250,600,100,200,6525000,6524500,6520900,6520100,6520000,100,1900,100,200,300
20200525,131942000,6527800,6527900,6528000,6528800,6529000,300,250,600,100,100,6525000,6524500,6524000,6520900,6520100,100,1900,400,100,200
20200525,131945000,6527700,6527800,6527900,6528000,6529000,50,300,250,600,100,6524500,6524000,6520900,6520100,6520000,1900,400,100,200,300
20200525,131948000,6527700,6527800,6527900,6528000,6529000,50,300,250,600,100,6524500,6524000,6520900,6520100,6520000,1700,400,100,200,300
20200525,131951000,6527000,6527300,6527700,6527800,6527900,400,100,50,300,200,6525100,6524500,6524000,6520900,6520100,100,1700,400,100,200
20200525,131954000,6526100,6527000,6527300,6527500,6527700,100,300,100,100,50,6524500,6524000,6520900,6520100,6520000,1700,400,100,200,300
20200525,131957000,6527300,6527500,6527700,6527800,6527900,100,100,50,300,200,6524500,6520900,6520100,6520000,6516500,1800,100,200,300,100
20200525,132000000,6527000,6527200,6527300,6527500,6527600,100,900,100,100,100,6526100,6524500,6520900,6520100,6520000,500,1800,100,200,300
20200525,132003000,6527200,6527300,6527500,6527600,6527700,800,100,100,100,50,6526100,6524500,6520900,6520100,6520000,400,1900,100,200,300
20200525,132006000,6526800,6527200,6527300,6527500,6527600,100,800,100,100,100,6526100,6524500,6520900,6520100,6520000,300,1900,100,200,300
20200525,132009000,6527000,6527200,6527300,6527500,6527600,100,700,100,100,100,6526100,6524500,6520900,6520100,6520000,100,1800,100,200,300
20200525,132012000,6527000,6527200,6527300,6527500,6527600,100,800,100,100,100,6526100,6524500,6520900,6520100,6520000,100,1800,100,200,300
20200525,132015000,6527000,6527200,6527300,6527500,6527600,100,800,100,100,100,6526100,6524500,6520900,6520100,6520000,100,1900,100,200,300
20200525,132018000,6527000,6527200,6527300,6527500,6527600,100,800,100,100,100,6524500,6520900,6520100,6520000,6516500,1900,100,200,300,100
20200525,132021000,6527000,6527200,6527300,6527500,6527600,300,800,100,100,100,6524500,6520900,6520100,6520000,6516500,1900,100,200,300,100
20200525,132024000,6525700,6527000,6527200,6527300,6527500,100,500,800,100,100,6524500,6520900,6520100,6520000,6516500,1900,100,200,400,100
20200525,132027000,6527000,6527200,6527300,6527500,6527600,500,1000,100,100,100,6524500,6520900,6520100,6520000,6516500,1900,100,200,400,100
20200525,132030000,6526900,6527000,6527200,6527500,6527600,1000,1250,1000,100,100,6524500,6520900,6520100,6520000,6516500,1900,100,200,400,100
20200525,132033000,6526900,6527000,6527200,6527500,6527600,800,1250,1000,100,100,6524500,6520900,6520100,6520000,6516500,1200,100,200,400,100
20200525,132036000,6526900,6527000,6527200,6527500,6527600,800,1250,1000,100,100,6524500,6520900,6520100,6520000,6516500,1100,100,200,400,100
20200525,132039000,6526800,6526900,6527000,6527200,6527600,100,800,1350,1000,100,6525700,6524500,6520900,6520100,6520000,100,1100,100,200,400
20200525,132042000,6526900,6527000,6527200,6527600,6527800,800,1350,1000,100,500,6525700,6524600,6524500,6520900,6520100,100,100,1100,100,200
20200525,132045000,6526700,6526800,6526900,6527000,6527200,100,200,800,1350,900,6524600,6524500,6520900,6520100,6520000,100,900,1100,200,400
20200525,132048000,6526800,6526900,6527000,6527200,6527600,200,800,1350,900,100,6525700,6524600,6524500,6520900,6520100,200,100,800,1100,200
20200525,132051000,6526800,6526900,6527000,6527200,6527600,100,800,1150,900,100,6525700,6524800,6524600,6524500,6520900,100,100,100,800,1100
20200525,132054000,6526700,6526900,6527000,6527200,6527600,100,700,1150,900,100,6525700,6524800,6524600,6524500,6520900,200,100,100,800,1100
20200525,132057000,6526900,6527000,6527200,6527600,6527700,700,1150,900,100,500,6526700,6525700,6524800,6524600,6524500,200,200,100,100,800
20200525,132100000,6526700,6526900,6527000,6527200,6527600,100,1100,650,900,100,6525700,6524800,6524600,6524500,6520900,200,100,100,800,1100
20200525,132103000,6526700,6526900,6527000,6527200,6527600,100,1100,650,900,100,6524800,6524600,6524500,6520900,6520000,100,100,800,1100,400
20200525,132106000,6525700,6526600,6526700,6526900,6527000,100,100,100,1100,650,6524800,6524600,6524500,6520900,6520000,100,100,800,1100,400
20200525,132109000,6525700,6526600,6526700,6526900,6527000,100,800,100,400,650,6524800,6524600,6524500,6520900,6520000,100,100,800,1100,400
20200525,132112000,6525700,6526600,6526700,6526900,6527000,100,800,100,400,650,6524800,6524600,6524500,6520900,6520000,300,100,800,1100,400
20200525,132115000,6526900,6527000,6527200,6527600,6527700,400,650,900,100,500,6524800,6524600,6524500,6520900,6520000,300,100,800,1100,400
20200525,132118000,6525600,6526900,6527000,6527200,6527600,50,400,650,900,100,6524600,6524500,6520900,6520000,6516500,100,800,1100,400,100
20200525,132121000,6527800,6527900,6528000,6529000,6529700,400,200,600,100,800,6527000,6525700,6524800,6524600,6524500,1400,2750,600,200,800
