nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200527,95103000,6685600,6685900,6686500,6690000,6699000,200,400,300,200,100,6680100,6680000,6676100,6676000,6675500,100,2300,200,100,100
20200527,95106000,6685600,6685900,6686500,6690000,6699000,300,300,300,300,100,6680000,6676100,6676000,6675500,6675300,2200,200,100,100,300
20200527,95109000,6685300,6685600,6685900,6686500,6690000,300,400,300,300,300,6680200,6680000,6676100,6676000,6675500,100,2400,200,100,100
20200527,95112000,6685300,6685600,6685900,6686500,6690000,100,400,300,300,300,6680200,6680000,6676100,6676000,6675500,200,2400,200,100,100
20200527,95115000,6680200,6685600,6685900,6686500,6690000,200,300,300,300,300,6680000,6676100,6676000,6675500,6675300,300,200,100,100,300
20200527,95118000,6680200,6685600,6685900,6686500,6690000,100,300,300,300,200,6680000,6676100,6676000,6675500,6675300,200,200,100,100,300
20200527,95121000,6680200,6685600,6685900,6686500,6690000,200,300,200,300,200,6680000,6676100,6676000,6675500,6675300,200,200,100,100,300
20200527,95124000,6680000,6680200,6685600,6685900,6686500,600,400,300,200,300,6676100,6676000,6675500,6675300,6675000,100,100,100,300,200
20200527,95127000,6679000,6680000,6680200,6685600,6685900,300,400,400,300,200,6675500,6675300,6675000,6672400,6672000,100,300,200,300,200
20200527,95130000,6675800,6679000,6680000,6680200,6685600,300,300,400,300,300,6675500,6675300,6675000,6672400,6672000,100,300,200,300,200
20200527,95133000,6675800,6679000,6680000,6680200,6685600,300,300,400,300,300,6675300,6675000,6672400,6672000,6671500,300,200,300,200,100
20200527,95136000,6675800,6679000,6680000,6680200,6685600,200,300,100,200,300,6675300,6675000,6672400,6672000,6671500,100,200,300,200,100
20200527,95139000,6675800,6679000,6680000,6680200,6685600,200,300,100,200,300,6675300,6675000,6672400,6672000,6671500,100,200,300,200,100
20200527,95142000,6679000,6680200,6685600,6690000,6699000,300,200,300,200,100,6675300,6675000,6672400,6672000,6671500,100,200,300,200,100
20200527,95145000,6679000,6680200,6685600,6690000,6699000,300,200,300,200,100,6675000,6672400,6672000,6671500,6671100,100,300,200,100,100
20200527,95148000,6675300,6679000,6680200,6685600,6690000,100,400,200,300,200,6672400,6672000,6671500,6671100,6671000,100,200,100,100,100
20200527,95151000,6675000,6675300,6679000,6680200,6685600,100,200,600,100,100,6672400,6672000,6671500,6671100,6671000,100,200,100,100,100
20200527,95154000,6675000,6675300,6679000,6680200,6685600,100,300,600,100,100,6672400,6672000,6671500,6671100,6671000,200,200,100,100,100
20200527,95157000,6679000,6680200,6685600,6690000,6699000,600,100,100,200,200,6672400,6672000,6671500,6671100,6671000,200,200,100,100,100
20200527,95200000,6675000,6679000,6680200,6685600,6690000,300,600,100,100,200,6672500,6672400,6672000,6671500,6671100,100,200,300,100,100
20200527,95203000,6679000,6680200,6685600,6690000,6699000,600,100,100,200,200,6673400,6673000,6672500,6672400,6672000,100,100,100,200,300
20200527,95206000,6679000,6680200,6690000,6699000,6699700,700,100,200,200,3300,6673500,6673400,6673000,6672500,6672400,100,100,100,100,200
20200527,95209000,6679000,6680200,6690000,6699000,6699700,700,100,200,200,3300,6673700,6673600,6673400,6673000,6672500,100,100,100,100,100
20200527,95212000,6679000,6680200,6690000,6699000,6699700,300,100,200,200,3300,6673700,6673400,6673000,6672500,6672400,100,100,100,100,100
20200527,95215000,6679000,6680200,6690000,6699000,6699700,100,100,200,200,3300,6673800,6673700,6673400,6673000,6672500,100,100,100,100,100
20200527,95218000,6673800,6679000,6690000,6699000,6699700,5200,100,100,200,3300,6673700,6673400,6673000,6672500,6672400,100,100,100,100,100
20200527,95221000,6673600,6673800,6679000,6680000,6690000,100,5100,200,100,100,6673400,6673000,6672500,6672400,6672000,100,100,100,100,300
20200527,95227000,6673600,6673700,6673800,6679000,6680000,100,400,5100,200,100,6673400,6673000,6672500,6672400,6672000,100,100,100,100,300
20200527,95230000,6673700,6673800,6679000,6680000,6690000,300,5100,200,100,100,6673600,6673400,6673000,6672500,6672400,100,100,100,100,100
20200527,95233000,6673700,6673800,6679000,6680000,6690000,300,5100,200,100,100,6673600,6673400,6673000,6672500,6672400,500,100,100,100,100
20200527,95236000,6673700,6673800,6679000,6680000,6690000,300,5100,200,100,100,6673600,6673400,6673000,6672500,6672400,500,100,100,100,100
20200527,95239000,6673700,6673800,6679000,6680000,6690000,100,5100,200,100,100,6673600,6673400,6673000,6672500,6672400,500,100,100,100,100
20200527,95242000,6673600,6673700,6673800,6679000,6680000,2300,200,5100,200,100,6673400,6673000,6672500,6672400,6672000,100,100,100,100,300
20200527,95245000,6673600,6673700,6673800,6679000,6680000,2300,200,5100,200,100,6673400,6673000,6672500,6672400,6672000,100,100,100,100,300
20200527,95248000,6673600,6673700,6673800,6679000,6680000,2400,200,5100,100,100,6673400,6673000,6672500,6672400,6672000,200,100,100,100,300
20200527,95251000,6673600,6673700,6673800,6679000,6680000,2700,200,5000,100,100,6673500,6673400,6673000,6672500,6672400,500,200,100,100,100
20200527,95254000,6673500,6673600,6673700,6673800,6679000,300,2700,200,5000,100,6672500,6672400,6672000,6671500,6671100,100,100,400,100,100
20200527,95257000,6673600,6673700,6673800,6679000,6680000,1900,200,5000,100,100,6672500,6672400,6672000,6671500,6671100,200,100,400,100,100
20200527,95300000,6673600,6673700,6673800,6679000,6680000,1500,200,5000,100,100,6672500,6672400,6672000,6671500,6671100,200,100,400,100,100
20200527,95303000,6673600,6673700,6673800,6679000,6680000,600,200,5000,100,100,6672500,6672400,6672000,6671500,6671100,200,100,400,100,100
20200527,95306000,6673600,6673700,6673800,6680000,6690000,600,200,5000,100,100,6673000,6672500,6672400,6672000,6671500,500,100,100,400,100
20200527,95309000,6673600,6673700,6673800,6680000,6690000,400,100,5000,100,100,6673000,6672800,6672500,6672400,6672000,600,200,100,100,400
20200527,95312000,6673700,6673800,6680000,6690000,6699000,100,5000,100,100,200,6673600,6673000,6672800,6672500,6672400,1000,600,200,200,100
20200527,95315000,6673800,6680000,6690000,6699000,6700000,5000,100,100,200,1100,6673600,6673000,6672800,6672500,6672400,1000,500,200,100,100
20200527,95318000,6673800,6680000,6690000,6699000,6700000,5100,100,100,200,1100,6673700,6673600,6673000,6672800,6672500,100,800,500,200,100
20200527,95321000,6673800,6680000,6690000,6699000,6700000,5100,100,100,200,1100,6673700,6673600,6673000,6672800,6672500,100,400,500,200,100
20200527,95324000,6673800,6680000,6690000,6699000,6700000,4400,100,100,200,1100,6673700,6673600,6673000,6672800,6672500,200,500,500,200,100
20200527,95327000,6673800,6680000,6690000,6699000,6700000,4500,100,100,200,1100,6673700,6673600,6673000,6672800,6672500,200,500,500,200,100
20200527,95330000,6673800,6674800,6680000,6690000,6699000,4400,100,100,100,200,6673700,6673600,6673000,6672800,6672500,200,500,500,200,100
20200527,95333000,6673800,6674800,6680000,6690000,6699000,4400,100,100,100,200,6673700,6673600,6673100,6673000,6672800,100,500,100,500,200
20200527,95336000,6673800,6674800,6680000,6690000,6699000,5100,100,100,100,200,6673600,6673100,6673000,6672800,6672500,367,100,500,200,100
20200527,95339000,6673700,6673800,6674800,6680000,6690000,68,5100,100,100,100,6673600,6673100,6673000,6672800,6672500,467,100,500,200,100
20200527,95342000,6673800,6674800,6680000,6690000,6699000,5068,100,100,100,200,6673600,6673100,6673000,6672800,6672500,567,200,500,200,100
20200527,95345000,6673000,6673800,6674800,6680000,6690000,2033,5168,100,100,100,6672800,6672500,6672400,6672100,6672000,200,100,100,100,400
20200527,95348000,6673000,6673800,6674800,6680000,6690000,1633,5068,100,100,100,6672800,6672500,6672400,6672100,6672000,200,100,100,100,400
20200527,95351000,6673000,6673800,6674800,6680000,6690000,1833,4968,100,100,100,6672500,6672400,6672100,6672000,6671500,100,100,100,400,100
20200527,95354000,6672500,6673000,6673800,6674800,6680000,200,1833,4968,100,100,6672400,6672100,6672000,6671500,6671100,100,100,400,100,100
20200527,95357000,6672400,6672500,6673000,6673800,6680000,100,300,1833,4968,100,6672100,6672000,6671500,6671100,6671000,100,400,100,100,100
20200527,95400000,6672400,6672500,6673000,6673800,6680000,300,400,1833,4968,100,6672000,6671500,6671100,6671000,6670800,400,100,100,100,200
20200527,95403000,6672400,6672500,6673000,6673800,6680000,500,400,1833,4868,100,6671500,6671100,6671000,6670800,6670400,100,100,100,200,100
20200527,95406000,6672000,6672400,6672500,6673000,6673800,100,600,400,1833,4768,6671100,6671000,6670800,6670400,6670300,100,100,200,100,100
20200527,95409000,6672000,6672100,6672400,6672500,6673000,200,300,400,400,1833,6671000,6670800,6670400,6670300,6670200,100,200,100,100,200
20200527,95412000,6672000,6672100,6672400,6672500,6673000,200,300,400,400,1833,6671500,6671100,6670800,6670400,6670300,200,900,200,100,100
20200527,95415000,6672000,6672100,6672400,6672500,6673000,100,300,400,400,1833,6671100,6670800,6670400,6670300,6670200,700,200,100,100,200
20200527,95418000,6672000,6672100,6672400,6672500,6673000,100,300,400,400,1733,6671500,6671000,6670800,6670400,6670300,100,3900,200,100,100
20200527,95421000,6671500,6672000,6672100,6672400,6672500,200,700,300,400,400,6671000,6670800,6670400,6670300,6670200,3900,200,100,100,200
