nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200528,104142000,6466000,6467000,6467200,6470100,6470400,900,400,4600,11074,200,6460100,6460000,6458800,6456000,6455300,100,700,200,100,100
20200528,104145000,6466000,6467000,6467200,6470100,6470400,900,400,4600,11074,200,6460100,6460000,6458800,6456000,6455300,200,700,200,100,100
20200528,104148000,6466000,6467000,6467200,6470100,6470400,800,400,4600,11074,200,6460100,6460000,6458800,6456000,6455300,200,700,200,100,100
20200528,104151000,6460100,6466000,6467000,6467200,6470100,100,800,400,4600,11074,6460000,6458800,6456000,6455300,6455000,500,200,100,100,100
20200528,104154000,6460100,6466000,6467000,6467200,6470100,100,800,400,4600,11074,6460000,6458800,6456000,6455300,6455000,500,200,100,100,100
20200528,104157000,6460100,6466000,6467000,6467200,6470100,200,800,400,4600,11074,6460000,6458800,6456000,6455300,6455000,500,200,100,100,100
20200528,104200000,6460000,6460100,6460600,6464000,6466000,227,300,100,76,800,6458800,6456000,6455300,6455000,6454000,200,100,100,100,100
20200528,104203000,6460000,6460100,6460600,6464000,6466000,327,300,100,76,800,6458800,6458000,6456000,6455300,6455000,200,100,100,100,100
20200528,104206000,6460000,6460100,6460600,6460700,6464000,627,200,100,100,76,6458800,6458000,6456000,6455300,6455000,200,100,100,100,100
20200528,104209000,6460000,6460100,6460600,6460700,6464000,627,200,100,100,76,6458800,6458000,6456000,6455300,6455000,200,100,100,100,100
20200528,104212000,6460000,6460100,6460600,6460700,6464000,327,200,100,100,76,6458000,6456000,6455300,6455000,6454000,100,100,100,100,100
20200528,104215000,6458800,6460000,6460100,6460600,6460700,1000,327,200,100,100,6450000,6449300,6449100,6449000,6448200,1000,100,200,500,100
20200528,104218000,6458800,6459400,6459900,6460000,6460100,1100,800,100,327,200,6450000,6449300,6449100,6449000,6448200,1000,100,200,500,100
20200528,104221000,6458800,6459400,6459900,6460000,6460100,1100,800,100,427,200,6450000,6449300,6449100,6449000,6448200,1000,100,200,500,100
20200528,104224000,6449300,6458800,6459400,6459900,6460000,800,1000,800,100,427,6449100,6449000,6448200,6448000,6447200,200,500,100,600,100
20200528,104227000,6449300,6450000,6458800,6459400,6459900,700,2100,1000,800,100,6449100,6449000,6448200,6448000,6447200,200,500,100,600,100
20200528,104230000,6449300,6450000,6458800,6459400,6459900,600,2100,1000,800,100,6449100,6448000,6447200,6447000,6446800,100,300,100,100,600
20200528,104233000,6449300,6450000,6458800,6459900,6460000,600,2100,1000,100,427,6449100,6448200,6448000,6447200,6447000,100,500,300,100,100
20200528,104239000,6449200,6449300,6449800,6449900,6450000,100,600,100,100,2100,6449100,6448200,6448000,6447200,6447000,100,500,300,100,100
20200528,104242000,6449300,6449800,6449900,6450000,6458800,500,100,100,2100,1000,6448200,6448000,6447200,6447000,6446800,500,300,100,100,600
20200528,104245000,6449300,6449800,6449900,6450000,6458000,500,100,100,2100,100,6448200,6448000,6447200,6447000,6446800,500,300,100,100,600
20200528,104248000,6449000,6449300,6449800,6449900,6450000,1233,600,100,100,2100,6448200,6448000,6447200,6447000,6446800,500,300,100,100,600
20200528,104251000,6449000,6449300,6449800,6449900,6450000,1233,600,100,100,2100,6448200,6448000,6447200,6447000,6446800,400,300,100,100,600
20200528,104254000,6449000,6449300,6449800,6449900,6450000,733,600,100,100,2100,6448200,6448000,6447200,6447000,6446800,300,300,100,100,600
20200528,104257000,6449000,6449300,6449800,6449900,6450000,733,600,100,100,2100,6448200,6448000,6447200,6447000,6446800,300,300,100,100,600
20200528,104300000,6449000,6449300,6449800,6449900,6450000,733,600,100,100,2100,6448200,6448000,6447200,6447000,6446800,300,400,100,100,600
20200528,104303000,6449300,6449800,6449900,6450000,6458800,600,100,100,2100,1000,6448300,6448200,6448000,6447200,6447000,100,200,400,100,100
20200528,104306000,6449300,6449600,6449800,6449900,6450000,600,100,100,100,2100,6449000,6448300,6448200,6448000,6447200,200,600,200,400,100
20200528,104309000,6449300,6449600,6449800,6449900,6450000,500,100,100,100,2100,6449000,6448300,6448200,6448000,6447200,100,600,300,400,100
20200528,104312000,6449600,6449800,6449900,6450000,6458800,100,100,100,2100,1000,6449400,6449300,6448600,6448300,6448200,100,100,100,200,300
20200528,104315000,6449000,6449400,6449600,6449800,6450000,100,200,100,100,2000,6448300,6448000,6447200,6447000,6446800,100,500,100,100,600
20200528,104318000,6449000,6449600,6449800,6450000,6452000,100,100,100,2000,200,6448300,6448000,6447200,6447000,6446800,100,500,100,100,600
20200528,104321000,6449800,6450000,6452000,6458800,6460000,100,2000,200,1000,427,6449000,6448300,6448000,6447200,6447000,100,100,500,100,100
20200528,104324000,6450000,6452000,6458800,6460000,6466000,1900,200,1000,427,800,6448500,6448300,6448000,6447200,6447000,300,100,500,100,100
20200528,104327000,6448400,6450000,6452000,6458800,6460000,500,1600,200,1000,427,6448300,6448000,6447200,6447000,6446800,100,500,100,100,600
20200528,104330000,6450000,6452000,6458800,6460000,6466000,1600,200,1000,427,800,6448300,6448000,6447200,6447000,6446800,100,500,100,100,600
20200528,104333000,6450000,6452000,6458800,6460000,6466000,1500,200,1000,427,800,6448300,6448000,6447200,6447000,6446800,100,500,100,200,600
20200528,104336000,6450000,6452000,6458800,6460000,6466000,1800,200,1000,427,800,6448300,6448000,6447200,6447000,6446800,100,500,100,200,600
20200528,104339000,6450000,6452000,6458800,6460000,6466000,1700,200,1000,427,800,6448300,6448100,6448000,6447200,6447000,100,100,500,100,200
20200528,104342000,6450000,6452000,6458800,6460000,6466000,900,200,1000,427,800,6448300,6448100,6448000,6447200,6447000,100,100,500,100,200
20200528,104345000,6450000,6452000,6458800,6460000,6466000,800,200,1000,427,800,6448000,6447200,6447000,6446800,6446600,200,100,200,600,200
20200528,104348000,6450000,6452000,6458800,6460000,6466000,700,200,1000,427,800,6448500,6448000,6447200,6447000,6446800,100,200,100,200,600
20200528,104351000,6450000,6452000,6458800,6460000,6466000,700,200,1000,427,800,6448500,6448000,6447200,6447000,6446800,100,200,100,200,600
20200528,104354000,6450000,6452000,6458800,6460000,6466000,500,200,1000,427,800,6449100,6448500,6448000,6447200,6447000,100,100,200,100,200
20200528,104357000,6450000,6452000,6458800,6460000,6466000,300,200,1000,427,800,6448000,6447200,6447000,6446800,6446600,400,100,200,600,200
20200528,104400000,6452000,6458800,6460000,6466000,6470000,200,1000,427,800,200,6448000,6447200,6447000,6446800,6446600,400,100,200,600,200
20200528,104403000,6458800,6460000,6466000,6470000,6470100,1000,427,800,200,11074,6449200,6448000,6447200,6447000,6446800,100,400,100,200,600
20200528,104406000,6458800,6460000,6466000,6470000,6470100,1000,427,800,200,11074,6449200,6448000,6447200,6447000,6446800,100,400,100,200,600
20200528,104409000,6458800,6459400,6460000,6466000,6470000,1000,100,427,800,200,6447000,6446800,6446600,6446000,6445800,67,600,200,1100,300
20200528,104412000,6458800,6459400,6460000,6466000,6470000,1000,100,327,800,200,6447000,6446800,6446600,6446000,6445800,167,600,200,1100,300
20200528,104415000,6458800,6459400,6460000,6466000,6470000,1000,100,327,800,200,6449400,6447000,6446800,6446600,6446000,100,267,600,200,1100
20200528,104418000,6458800,6459400,6460000,6466000,6470000,900,100,327,800,200,6452000,6450000,6449400,6447000,6446800,100,1000,100,267,600
20200528,104421000,6458800,6459400,6460000,6466000,6470000,800,100,327,800,300,6450000,6449800,6449400,6447100,6447000,800,100,100,200,367
20200528,104424000,6458800,6459400,6460000,6466000,6470000,800,100,327,800,300,6450000,6449800,6449400,6447100,6447000,800,100,100,200,367
20200528,104427000,6458800,6459400,6460000,6466000,6470000,800,100,327,800,300,6450000,6449800,6447100,6447000,6446800,700,100,200,367,600
20200528,104430000,6458800,6459400,6460000,6466000,6470000,800,100,327,800,300,6450000,6449800,6447100,6447000,6446800,700,100,200,367,600
20200528,104436000,6458800,6459400,6460000,6466000,6470000,700,100,327,800,300,6450000,6449800,6447100,6447000,6446800,700,100,200,367,600
20200528,104439000,6458800,6459400,6460000,6466000,6470000,600,100,327,800,300,6450300,6450000,6449800,6447100,6447000,100,700,100,200,367
20200528,104442000,6458800,6459400,6460000,6466000,6470000,300,100,327,800,300,6450000,6449800,6447100,6447000,6446800,800,100,200,367,700
20200528,104445000,6458800,6459400,6460000,6466000,6470000,300,100,327,800,300,6450000,6449800,6447100,6447000,6446800,1000,200,200,367,700
20200528,104448000,6458800,6459400,6460000,6466000,6470000,300,100,327,800,300,6450600,6450000,6449800,6447100,6447000,100,800,200,200,367
20200528,104451000,6458800,6459400,6460000,6466000,6470000,300,100,327,800,300,6450300,6450100,6450000,6449800,6447100,300,100,800,200,200
20200528,104454000,6458800,6459400,6460000,6466000,6470000,300,100,327,800,300,6450100,6450000,6449900,6449800,6447100,200,800,100,200,200
20200528,104457000,6458800,6459400,6460000,6466000,6470000,200,100,327,800,300,6450100,6450000,6449900,6449800,6447100,200,800,100,200,200
20200528,104500000,6458800,6459400,6460000,6466000,6470000,200,100,327,800,300,6450100,6450000,6449900,6449800,6447100,200,900,100,100,200
20200528,104503000,6458800,6459400,6460000,6466000,6470000,200,100,327,800,300,6450100,6450000,6449900,6449800,6448000,200,900,100,100,100
20200528,104506000,6458800,6459400,6460000,6466000,6470000,100,100,327,800,300,6453000,6450000,6449900,6449800,6448000,100,600,100,100,100
20200528,104509000,6458800,6459400,6460000,6466000,6469900,100,100,327,800,100,6453000,6450100,6450000,6449900,6449800,100,500,700,100,100
20200528,104512000,6458800,6459400,6460000,6466000,6469900,100,100,327,800,100,6450100,6450000,6449900,6449800,6448000,400,800,100,100,100
20200528,104515000,6458800,6459400,6460000,6466000,6469900,100,100,327,800,100,6450100,6450000,6449900,6449800,6448000,200,800,100,100,100
20200528,104518000,6458800,6459200,6459400,6460000,6466000,100,100,100,327,800,6450100,6450000,6449900,6449800,6448000,200,900,100,200,100
20200528,104521000,6458800,6459200,6459400,6460000,6466000,100,100,100,327,800,6452000,6450100,6450000,6449900,6449800,100,200,900,100,200
20200528,104524000,6458000,6458800,6459200,6459400,6460000,100,100,100,100,327,6452000,6450100,6450000,6449900,6449800,100,300,900,100,200
20200528,104527000,6458000,6458800,6459200,6459400,6460000,100,100,100,100,327,6452000,6450200,6450100,6450000,6449900,100,100,300,900,100
20200528,104530000,6458800,6459200,6459400,6460000,6466000,100,100,100,327,800,6450200,6450100,6450000,6449900,6449800,100,300,800,100,200
20200528,104533000,6452000,6458800,6459200,6459400,6460000,300,100,100,100,327,6450200,6450100,6450000,6449900,6449800,100,300,800,100,200
20200528,104536000,6452000,6458800,6460000,6465900,6466000,200,100,327,200,800,6450200,6450100,6450000,6449900,6449800,100,300,900,100,200
20200528,104539000,6452000,6452300,6452600,6458800,6460000,300,100,100,100,327,6450100,6450000,6449900,6449800,6448300,300,900,100,200,100
20200528,104542000,6452000,6452300,6452600,6458800,6460000,300,100,100,100,327,6450200,6450100,6450000,6449900,6449800,100,300,900,100,200
20200528,104545000,6452000,6452300,6452600,6458800,6460000,300,100,100,100,327,6450500,6450100,6450000,6449900,6449800,100,300,900,100,200
20200528,104548000,6452000,6452300,6452600,6458800,6460000,300,100,100,100,327,6450500,6450100,6450000,6449900,6449800,100,300,900,100,200
20200528,104551000,6452000,6452300,6452600,6458800,6460000,300,100,100,100,327,6450500,6450100,6450000,6449900,6449800,100,400,900,100,200
20200528,104554000,6450200,6452000,6452300,6452600,6458800,300,300,100,100,100,6450100,6450000,6449900,6449800,6448300,400,900,100,200,100
20200528,104557000,6450500,6452000,6458800,6460000,6465900,300,300,100,327,200,6450100,6450000,6449900,6449800,6448300,300,900,100,200,100
20200528,104600000,6450500,6452000,6458800,6460000,6465900,300,300,100,327,200,6450100,6450000,6449900,6449800,6448300,300,800,100,200,100
20200528,104603000,6450500,6452000,6458800,6460000,6465900,200,300,100,327,200,6450200,6450100,6450000,6449900,6449800,400,200,1100,100,200
20200528,104606000,6452000,6458800,6460000,6465900,6466000,300,100,327,200,800,6450500,6450100,6450000,6449900,6449800,200,200,1000,100,200
20200528,104609000,6452000,6458800,6460000,6465900,6466000,300,100,327,200,800,6450100,6450000,6449900,6449800,6448300,200,1000,100,200,100
20200528,104612000,6450000,6452000,6458800,6460000,6465900,100,100,100,327,200,6449900,6449800,6448300,6448000,6447100,100,200,100,100,200
20200528,104615000,6452000,6458800,6460000,6465900,6466000,100,100,327,200,800,6450100,6449900,6449800,6448300,6448000,100,100,200,100,100
20200528,104618000,6452000,6458800,6460000,6465900,6466000,100,100,327,200,800,6450000,6449900,6449800,6448300,6448000,100,100,200,100,100
20200528,104621000,6450000,6452000,6456900,6458800,6460000,200,100,100,100,327,6449900,6449800,6448300,6448000,6447100,100,200,100,100,200
20200528,104624000,6450600,6452000,6456900,6458800,6460000,100,100,100,100,327,6450000,6449800,6448300,6448000,6447100,900,200,100,100,200
20200528,104627000,6452000,6456900,6458800,6460000,6465900,100,100,100,327,200,6450000,6449800,6448300,6448000,6447100,900,200,100,100,200
20200528,104630000,6460000,6465900,6466000,6469800,6469900,327,200,800,300,100,6450000,6449800,6448300,6448000,6447100,500,200,100,100,200
20200528,104633000,6460000,6465900,6466000,6469800,6469900,327,200,800,300,100,6450000,6449800,6448300,6448000,6447100,200,200,100,100,200
20200528,104636000,6460000,6465900,6466000,6469800,6469900,327,200,800,300,100,6450000,6449800,6448300,6448000,6447100,100,200,100,100,200
20200528,104639000,6460000,6465900,6466000,6469800,6469900,327,200,800,300,100,6449800,6448300,6448000,6447100,6447000,200,100,100,200,167
20200528,104642000,6459900,6460000,6465900,6466000,6469800,400,427,200,800,300,6449800,6448300,6448000,6447100,6447000,200,100,100,200,167
20200528,104645000,6459900,6460000,6465900,6466000,6469800,400,427,200,800,300,6450000,6449800,6448300,6448000,6447100,100,100,100,100,200
20200528,104648000,6459900,6460000,6465900,6466000,6469800,100,427,200,800,300,6450000,6449800,6448300,6448000,6447100,700,100,100,100,200
20200528,104651000,6459900,6460000,6465900,6466000,6469800,100,427,200,800,300,6450000,6449800,6448300,6448000,6447100,700,100,100,100,200
20200528,104654000,6459900,6460000,6465900,6466000,6469800,100,427,200,800,300,6450000,6449900,6449800,6448300,6448000,700,100,100,100,100
20200528,104657000,6459900,6460000,6465900,6466000,6469800,100,427,200,800,300,6452000,6450000,6449900,6449800,6448300,100,800,100,100,100
20200528,104700000,6460000,6465900,6466000,6469800,6469900,427,200,800,300,100,6450100,6450000,6449900,6449800,6448300,100,800,100,100,100
20200528,104703000,6460000,6465800,6465900,6466000,6469800,427,200,200,800,300,6450000,6449900,6449800,6448300,6448000,500,100,100,100,100
20200528,104706000,6460000,6465800,6465900,6466000,6469800,427,200,200,800,300,6450000,6449900,6449800,6449000,6448300,500,100,100,300,100
20200528,104709000,6459900,6460000,6465800,6465900,6466000,100,427,200,200,800,6450000,6449900,6449800,6449000,6448300,500,100,100,300,100
20200528,104712000,6459900,6460000,6465800,6465900,6466000,100,427,200,200,800,6450000,6449900,6449800,6449000,6448800,400,100,100,300,500
20200528,104718000,6460000,6460500,6465800,6465900,6466000,427,100,200,200,800,6450000,6449900,6449800,6449000,6448800,600,100,100,300,500
20200528,104721000,6460000,6460500,6465800,6465900,6466000,427,100,200,200,800,6450100,6450000,6449900,6449800,6449000,100,500,100,100,300
20200528,104724000,6460000,6460500,6465800,6465900,6466000,427,100,200,200,800,6450100,6450000,6449900,6449800,6449000,100,500,100,100,300
20200528,104727000,6460000,6460500,6465800,6465900,6466000,427,100,200,200,800,6450000,6449900,6449800,6449000,6448800,500,100,100,300,500
